93, 168, 138, Air Force blue
240, 255, 248, Alice blue
227, 54, 38, Alizarin crimson
239, 205, 222, Almond
229, 80, 43, Amaranth
255, 0, 191, Amber
255, 0, 126, Amber (SAE/ECE)
255, 62, 3, American rose
153, 204, 102, Amethyst
164, 57, 198, Android Green
242, 244, 243, Anti-flash white
205, 117, 149, Antique brass
145, 131, 92, Antique fuchsia
250, 215, 235, Antique white
0, 0, 128, Ao (English)
141, 0, 182, Apple green
251, 177, 206, Apricot
0, 255, 255, Aqua
127, 212, 255, Aquamarine
75, 32, 83, Army green
233, 107, 214, Arylide yellow
178, 181, 190, Ash grey
135, 107, 169, Asparagus
255, 102, 153, Atomic tangerine
165, 42, 42, Auburn
253, 0, 238, Aureolin
110, 128, 127, AuroMetalSaurus
255, 82, 32, Awesome
0, 255, 127, Azure
240, 255, 255, Azure mist/web
137, 240, 207, Baby blue
161, 241, 202, Baby blue eyes
244, 194, 194, Baby pink
33, 205, 171, Ball Blue
250, 181, 231, Banana Mania
255, 53, 225, Banana yellow
132, 130, 132, Battleship grey
152, 123, 119, Bazaar
188, 230, 212, Beau blue
159, 112, 129, Beaver
245, 220, 245, Beige
255, 196, 228, Bisque
61, 31, 43, Bistre
254, 94, 111, Bittersweet
0, 0, 0, Black
255, 205, 235, Blanched Almond
49, 231, 140, Bleu de France
172, 238, 229, Blizzard Blue
250, 190, 240, Blond
0, 255, 0, Blue
0, 175, 147, Blue (Munsell)
0, 189, 135, Blue (NCS)
51, 153, 51, Blue (pigment)
2, 254, 71, Blue (RYB)
162, 208, 162, Blue Bell
102, 204, 153, Blue Gray
13, 186, 152, Blue-green
138, 226, 43, Blue-violet
222, 131, 93, Blush
121, 59, 68, Bole
0, 182, 149, Bondi blue
204, 0, 0, Boston University Red
135, 96, 50, Boysenberry
0, 255, 112, Brandeis blue
181, 66, 166, Brass
203, 84, 65, Brick red
29, 214, 172, Bright cerulean
102, 0, 255, Bright green
191, 228, 148, Bright lavender
195, 72, 33, Bright maroon
255, 127, 0, Bright pink
8, 222, 232, Bright turquoise
209, 232, 159, Bright ube
244, 255, 187, Brilliant lavender
255, 163, 85, Brilliant rose
251, 127, 96, Brink pink
0, 37, 66, British racing green
205, 50, 127, Bronze
150, 0, 75, Brown (traditional)
165, 42, 42, Brown (web)
255, 204, 193, Bubble gum
231, 255, 254, Bubbles
240, 130, 220, Buff
72, 7, 6, Bulgarian rose
128, 32, 0, Burgundy
222, 135, 184, Burlywood
204, 0, 85, Burnt orange
233, 81, 116, Burnt sienna
138, 36, 51, Burnt umber
189, 164, 51, Byzantine
112, 99, 41, Byzantium
83, 114, 104, Cadet
95, 160, 158, Cadet blue
145, 176, 163, Cadet grey
0, 60, 107, Cadmium green
237, 45, 135, Cadmium orange
227, 34, 0, Cadmium red
255, 0, 246, Cadmium yellow
166, 91, 123, Café au lait
75, 33, 54, Café noir
30, 43, 77, Cal Poly Pomona green
163, 173, 193, Cambridge Blue
193, 107, 154, Camel
120, 107, 134, Camouflage green
255, 0, 239, Canary yellow
255, 0, 8, Candy apple red
228, 122, 113, Candy pink
0, 255, 191, Capri
89, 32, 39, Caput mortuum
196, 58, 30, Cardinal
0, 153, 204, Caribbean green
255, 64, 0, Carmine
235, 66, 76, Carmine pink
255, 56, 0, Carmine red
255, 201, 166, Carnation pink
179, 27, 27, Carnelian
153, 221, 186, Carolina blue
237, 33, 145, Carrot orange
172, 175, 225, Celadon
178, 255, 255, Celeste (colour)
73, 208, 151, Celestial blue
222, 99, 49, Cerise
236, 131, 59, Cerise pink
0, 167, 123, Cerulean
42, 190, 82, Cerulean blue
0, 165, 122, CG Blue
224, 49, 60, CG Red
160, 90, 120, Chamoisee
250, 165, 214, Champagne
54, 79, 69, Charcoal
223, 0, 255, Chartreuse (traditional)
127, 0, 255, Chartreuse (web)
255, 197, 183, Cherry blossom pink
205, 92, 92, Chestnut
123, 0, 63, Chocolate (traditional)
210, 30, 105, Chocolate (web)
